n,time,nodes,depth,n_solutions_tree,n_total_solutions,nodes_first_solution,depth_first_solution,time_detect,time_binary_search,time_grover
10,0,229,10,6,7,21,10,0.0307213,0.731168,9.88127e-06
10,0,143,10,1,1,19,10,0.0242595,0.731168,2.60005e-05
10,0,121,10,8,8,91,10,0.0222792,0.501023,9.39533e-06
10,0,201,10,11,11,15,10,0.0287767,0.731168,8.10125e-06
10,0,165,10,7,7,12,10,0.0260649,0.731168,9.88127e-06
10,0,191,10,10,10,23,10,0.0280497,0.731168,8.38737e-06
10,0,191,10,5,5,24,10,0.0280497,0.731168,1.15674e-05
10,0,179,10,25,25,23,10,0.0271516,0.731168,5.64404e-06
10,0,163,10,1,1,114,10,0.025906,0.731168,2.60005e-05
10,0,155,10,1,1,145,10,0.0252602,0.731168,2.60005e-05
10,0,167,10,2,2,139,10,0.0262229,0.731168,1.81163e-05
10,0,191,10,3,3,139,10,0.0280497,0.731168,1.49066e-05
10,0,177,10,2,2,45,10,0.026999,0.731168,1.81163e-05
10,0,123,10,1,1,32,10,0.0224932,0.501693,2.60005e-05
10,0,175,10,2,2,110,10,0.0268456,0.731168,1.81163e-05
10,0,135,10,3,3,37,10,0.0235688,0.731168,1.49066e-05
10,0,139,10,6,6,55,10,0.0239166,0.731168,1.07717e-05
10,0,87,10,2,2,25,10,0.0188792,0.501023,1.81163e-05
10,0,173,10,2,2,50,10,0.0266913,0.731168,1.81163e-05
10,0,143,10,4,6,12,9,0.0242595,0.731168,1.07717e-05
10,0,125,10,2,2,97,10,0.022676,0.501693,1.81163e-05
10,0,133,10,1,1,103,10,0.023393,0.731168,2.60005e-05
10,0,167,10,1,1,76,10,0.0262229,0.731168,2.60005e-05
10,0,95,10,1,1,80,10,0.0197318,0.501023,2.60005e-05
10,0,151,10,4,4,79,10,0.0249311,0.731168,1.29547e-05
15,0,803,15,12,12,114,15,0.0706594,2.7908,3.71019e-05
15,0,693,15,1,1,653,15,0.0656356,2.7908,0.000132468
15,0,441,15,8,8,122,15,0.052342,1.94472,4.49739e-05
15,0,777,15,2,2,483,15,0.0695047,2.7908,9.04733e-05
15,0,497,15,3,3,317,15,0.0555712,1.94472,7.3279e-05
15,0,671,15,1,1,564,15,0.064584,2.7908,0.000132468
15,0,327,15,1,1,135,15,0.0450601,1.94472,0.000132468
15,0,557,15,2,2,310,15,0.058835,2.7908,9.04733e-05
15,0,405,15,8,8,171,15,0.0501566,1.94472,4.49739e-05
15,0,471,15,2,2,198,15,0.0540959,1.94472,9.04733e-05
15,0,321,15,3,3,126,15,0.0446441,1.94472,7.3279e-05
15,0,425,15,3,3,192,15,0.0513822,1.94472,7.3279e-05
15,0,467,15,3,3,248,15,0.0538653,1.94472,7.3279e-05
15,0,629,15,4,4,27,15,0.0625274,2.7908,6.32694e-05
15,0,635,15,1,1,367,15,0.0628253,2.7908,0.000132468
15,0,711,15,14,19,243,15,0.0664836,2.7908,3.00208e-05
15,0,551,15,3,3,146,15,0.0585168,2.7908,7.3279e-05
15,0,545,15,2,2,336,15,0.0581969,2.7908,9.04733e-05
15,0,509,15,9,9,21,15,0.0562391,1.94472,4.25935e-05
15,0,723,15,16,16,211,15,0.067043,2.7908,3.23687e-05
15,0,411,15,2,2,310,15,0.0505274,1.94472,9.04733e-05
15,0,897,15,1,1,36,15,0.0746856,2.7908,0.000132468
15,0,287,15,2,2,41,15,0.042209,1.94472,9.04733e-05
15,0,389,15,3,3,72,15,0.0491542,1.94472,7.3279e-05
15,0,619,15,3,5,206,14,0.0620277,2.7908,5.67902e-05
20,0,2365,20,8,8,666,20,0.143468,8.95964,0.00024813
20,0,2215,20,1,1,688,20,0.138661,8.94798,0.000763463
20,0,1553,20,3,3,135,20,0.116091,6.28143,0.00041399
20,0,1627,20,8,8,593,20,0.118827,6.28143,0.00024813
20,0,1213,20,6,6,1097,20,0.102589,6.28143,0.000287692
20,0,3549,20,41,49,1620,20,0.175769,8.95964,0.000101099
20,0,2913,20,4,4,639,20,0.159234,8.95964,0.000355348
20,0,1763,20,5,5,685,20,0.123697,6.28143,0.000316054
20,0,1005,20,2,2,816,20,0.093372,4.3964,0.000515609
20,0,4881,20,12,12,188,20,0.206146,12.7364,0.00020208
20,0,2747,20,39,39,264,20,0.154628,8.95964,0.000112711
20,0,1903,20,1,1,979,20,0.128518,6.28143,0.000763463
20,0,1677,20,3,3,491,20,0.12064,6.28143,0.00041399
20,0,4523,20,3,3,1068,20,0.198439,12.7364,0.00041399
20,0,1673,20,2,2,1556,20,0.120496,6.28143,0.000515609
20,0,1867,20,4,4,619,20,0.127296,6.28143,0.000355348
20,0,2583,20,17,17,1474,20,0.149939,8.95964,0.000169763
20,0,2081,20,1,1,1981,20,0.134398,8.94798,0.000763463
20,0,3259,20,2,2,2879,20,0.168431,8.95964,0.000515609
20,0,1397,20,6,6,879,20,0.110102,6.28143,0.000287692
20,0,2231,20,13,13,440,20,0.139161,8.94798,0.000193881
20,0,4339,20,49,66,677,20,0.194359,12.7364,8.75849e-05
20,0,2235,20,3,3,1143,20,0.139285,8.94798,0.00041399
20,0,1181,20,4,4,355,20,0.101225,6.28143,0.000355348
20,0,2489,20,8,8,223,20,0.147184,8.95964,0.00024813
25,0,7299,25,10,10,4484,25,0.282243,17.8258,0.00121427
25,0,3675,25,4,4,1744,25,0.199986,12.5242,0.00196498
25,0,14161,25,5,5,2961,25,0.393166,25.3012,0.00174523
25,0,9611,25,15,15,6777,25,0.323886,25.3012,0.0009854
25,0,5783,25,3,3,1108,25,0.250891,17.8026,0.00229402
25,0,5617,25,10,10,365,25,0.247263,17.8026,0.00121427
25,0,6455,25,8,8,4091,25,0.265418,17.8258,0.00136331
25,0,10605,25,20,20,721,25,0.340228,25.3012,0.000850604
25,0,5283,25,2,2,3526,25,0.239796,17.8026,0.00286509
25,0,3787,25,97,97,1490,25,0.203012,12.5242,0.000384448
25,0,5947,25,10,10,3960,25,0.254425,17.8026,0.00121427
25,0,8075,25,45,45,2256,25,0.296872,17.8258,0.000564487
25,0,7755,25,27,27,2809,25,0.290928,17.8258,0.000730256
25,0,6575,25,27,27,1826,25,0.267875,17.8258,0.000730256
25,0,8207,25,223,223,785,25,0.299289,25.3012,0.000254957
25,0,9811,25,8,8,42,25,0.32724,25.3012,0.00136331
25,0,12439,25,97,213,3436,24,0.368481,25.3012,0.000260728
25,0,12837,25,117,117,63,25,0.374331,25.3012,0.000350458
25,0,4645,25,6,6,546,25,0.224846,17.8026,0.00158498
25,0,10089,25,382,382,108,25,0.331845,25.3012,0.000196127
25,0,8195,25,24,24,4060,25,0.29907,25.3012,0.000775119
25,0,3803,25,39,39,294,25,0.20344,12.5242,0.000606484
25,0,8073,25,20,20,225,25,0.296835,17.8258,0.000850604
25,0,3585,25,3,3,1631,25,0.197521,12.5242,0.00229402
25,0,10917,25,17,17,5588,25,0.345197,25.3012,0.000924041
30,0,28791,30,4,4,2591,30,0.614961,47.2222,0.0118472
30,0,69229,30,48,48,15889,30,0.954881,94.863,0.00326462
30,0,13437,30,7,7,9390,30,0.419544,33.2625,0.00880198
30,0,7123,30,6,6,621,30,0.305438,23.4356,0.00954734
30,0,17487,30,48,48,442,30,0.479247,47.2222,0.00326462
30,0,68509,30,36,36,6019,30,0.949902,94.863,0.00377881
30,0,5055,30,4,4,1311,30,0.256959,23.4051,0.0118472
30,0,41909,30,74,74,14190,30,0.741965,66.9043,0.00262212
30,0,33733,29,12,24,22165,29,0.665659,66.9043,0.00464806
30,0,30099,30,26,26,3165,30,0.628777,47.2222,0.00446156
30,0,22251,30,14,14,13561,30,0.540612,47.2222,0.00613322
30,0,12673,30,58,58,4932,30,0.407439,33.2625,0.0029658
30,0,19575,30,51,51,2326,30,0.507057,47.2222,0.00316579
30,0,20239,30,127,127,9874,30,0.515587,47.2222,0.00199704
30,0,23923,30,4,4,7891,30,0.560559,47.2222,0.0118472
30,0,15967,30,17,21,4724,29,0.457346,33.2625,0.00497729
30,0,31111,30,4,4,3992,30,0.639262,47.2222,0.0118472
30,0,23257,30,4,4,7427,30,0.5527,47.2222,0.0118472
30,0,31467,30,17,17,12290,30,0.642909,47.2222,0.00554865
30,0,10073,30,17,17,2358,30,0.363238,33.2625,0.00554865
30,0,16533,30,8,8,1233,30,0.465383,47.1609,0.00820628
30,0,31761,30,216,216,8767,30,0.645906,47.2222,0.00152991
30,0,28793,30,125,195,8643,29,0.614982,47.2222,0.00161027
30,0,23065,30,16,16,9285,30,0.550413,47.2222,0.0057247
30,0,32241,30,20,20,2313,30,0.650769,47.2222,0.00510351
35,0,119415,35,72,72,11834,35,1.41788,125.127,0.0159792
35,0,43187,35,5,5,13376,35,0.851586,88.2546,0.0633725
35,0,215991,35,4,4,134884,35,1.90929,177.338,0.0714015
35,0,106025,35,164,164,69720,35,1.33602,125.127,0.0105394
35,0,56797,35,6,6,40813,35,0.977821,88.3641,0.0575284
35,0,51245,35,2,2,4606,35,0.928796,88.3641,0.104263
35,0,35495,35,31,31,2555,35,0.772024,88.2546,0.0245395
35,0,48859,35,415,415,355,35,0.906913,88.3641,0.00660642
35,0,78387,35,30,48,57016,34,1.14875,125.127,0.0196336
35,0,55363,35,1,1,45699,35,0.965397,88.3641,0.155094
35,0,116423,35,180,180,64731,35,1.4,125.127,0.0100563
35,0,69881,35,15,15,12279,35,1.08463,125.127,0.0356406
35,0,72803,35,37,37,61,35,1.10707,125.127,0.0224186
35,0,118991,35,8,8,76432,35,1.41536,125.127,0.0494394
35,0,45107,35,14,14,26354,35,0.870313,88.2546,0.036936
35,0,115887,35,51,92,5667,35,1.39678,125.127,0.0141135
35,0,82807,35,4,4,71431,35,1.18069,125.127,0.0714015
35,0,79733,35,432,432,14899,35,1.15857,125.127,0.00647464
35,0,159885,35,108,108,85987,35,1.64065,177.118,0.0130139
35,0,204991,35,115,115,106218,35,1.86004,177.338,0.0126073
35,0,241235,35,388,395,3344,35,2.01779,177.338,0.00677258
35,0,101057,35,20,20,1258,35,1.30434,125.127,0.0307252
35,0,58323,35,20,20,50313,35,0.990871,88.3641,0.0307252
35,0,109643,35,118,118,10887,35,1.35862,125.127,0.0124444
35,0,21001,35,3,3,3174,35,0.593816,62.2926,0.0834117
40,0,434583,40,952,952,863,40,2.8953,306.616,0.0245844
40,0,154787,40,8,8,106510,40,1.72789,216.67,0.27958
40,0,83319,40,32,32,17885,40,1.26612,152.88,0.136499
40,0,776175,40,1310,1310,213218,40,3.87417,434.358,0.0209475
40,0,78409,40,16,16,28974,40,1.22824,152.88,0.194912
40,0,264499,40,131,131,109463,40,2.25874,306.616,0.0667022
40,0,404275,40,118,118,4104,40,2.79252,306.616,0.0703211
40,0,249265,40,55,55,99748,40,2.19272,216.67,0.103557
40,0,333815,40,21,21,56,40,2.53752,306.616,0.169415
